^DCOMMAND     PID   USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    510 gyurin   10u  IPv4 0xe812692f20402ea7      0t0  TCP *:49167 (LISTEN)
rapportd    510 gyurin   11u  IPv6 0x2379e7cf33c9310b      0t0  TCP *:49167 (LISTEN)
ControlCe   568 gyurin    9u  IPv4 0x3e2c541074f130c1      0t0  TCP *:7000 (LISTEN)
ControlCe   568 gyurin   10u  IPv6 0x8d2d33b5d087ff1b      0t0  TCP *:7000 (LISTEN)
ControlCe   568 gyurin   11u  IPv4 0x38b8f3cb8e672ade      0t0  TCP *:5000 (LISTEN)
ControlCe   568 gyurin   12u  IPv6 0x140a925cc6b11991      0t0  TCP *:5000 (LISTEN)
logioptio  1032 gyurin   52u  IPv4 0x3462ddc47e0352ab      0t0  TCP *:59869 (LISTEN)
com.docke  1628 gyurin  154u  IPv4 0x6ebf2adfeb32dd82      0t0  TCP 127.0.0.1:8000 (LISTEN)
com.docke  1628 gyurin  158u  IPv4 0x3d5e9f89fb12a07a      0t0  TCP 127.0.0.1:6379 (LISTEN)
com.docke  1628 gyurin  159u  IPv4  0x80135fa6eb69512      0t0  TCP 127.0.0.1:5432 (LISTEN)
com.docke  1628 gyurin  255u  IPv4 0x5308960e0832e784      0t0  TCP 127.0.0.1:15432 (LISTEN)
com.docke  1628 gyurin  359u  IPv6 0xbd25fc28531fae17      0t0  TCP *:8765 (LISTEN)
com.docke  1628 gyurin  361u  IPv6 0xf50bdc8bc56e4270      0t0  TCP *:5173 (LISTEN)
LogiPlugi  3226 gyurin  296u  IPv4 0x9ca586c2282a1a89      0t0  TCP 127.0.0.1:49895 (LISTEN)
LogiPlugi  3226 gyurin  317u  IPv4 0xbe48df960272a4b7      0t0  TCP 127.0.0.1:49904 (LISTEN)
LogiPlugi  3226 gyurin  358u  IPv4 0x2d20f26ec332f595      0t0  TCP 127.0.0.1:49944 (LISTEN)
Discord   29001 gyurin   39u  IPv4  0xaf0c5c155094d10      0t0  TCP 127.0.0.1:6463 (LISTEN)
Raycast   30308 gyurin   32u  IPv4 0x3340824a3f9854ad      0t0  TCP 127.0.0.1:7265 (LISTEN)
Google    30377 gyurin   30u  IPv6 0xceb74729635633c0      0t0  TCP [::1]:7679 (LISTEN)
aside-dae 42823 gyurin   14u  IPv4 0x818610f5749b09cf      0t0  TCP 127.0.0.1:21420 (LISTEN)
Aside     98267 gyurin   59u  IPv4 0x560ca8a571cff03b      0t0  TCP 127.0.0.1:45103 (LISTEN)
